,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
1,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,33,1987,3,3,270,3,9,3,19,10,52.6,1,1,1,1,33.3,0,0,0,0,
2,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,1,0,16,0.2,0,0,2,2,100,0,0,0,0,,0,0,0,0,
3,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33,33,2970,33,32,0.97,111,82,74.8,18,8,7,10,30.3,8,4,1,3,20
4,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12,12,1080,12,30,2.5,64,35,54.7,2,2,8,3,25,3,1,1,1,50
5,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2,2,180,2,5,2.5,7,2,28.6,1,0,1,0,0,0,0,0,0,
6,Ángel\Angel,es ESP,GK,Granada,es La Liga,18,2002,1,1,90,1,2,2,7,6,85.7,0,0,1,0,0,2,1,1,0,50
7,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36,36,3240,36,48,1.33,156,114,73.1,5,13,18,9,25,6,6,0,0,0
8,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,7,6,585,6.5,8,1.23,22,15,68.2,2,2,2,2,33.3,1,1,0,0,0
9,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36,36,3240,36,41,1.14,114,83,70.2,15,13,8,10,27.8,9,7,1,1,12.5
10,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,23,1997,37,37,3330,37,54,1.46,165,117,71.5,14,7,16,6,16.2,9,7,2,0,22.2
11,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,es La Liga,28,1992,30,30,2700,30,46,1.53,135,93,69.6,5,11,14,5,16.7,9,5,3,1,37.5
12,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,2001,1,1,90,1,4,4,4,0,0,0,0,1,0,0,1,0,0,1,
13,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,30,1990,31,31,2790,31,51,1.65,126,81,64.3,10,8,13,6,19.4,9,6,2,1,25
14,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,27,1993,38,38,3420,38,53,1.39,167,119,72.5,15,7,16,9,23.7,7,7,0,0,0
15,Alessandro Berardi\Alessandro-Berardi,it ITA,GK,Hellas Verona,it Serie A,29,1991,1,0,28,0.3,0,0,1,1,100,0,0,0,0,,0,0,0,0,
16,Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Angers,fr Ligue 1,23,1997,38,38,3420,38,58,1.53,134,82,61.9,12,8,18,9,23.7,8,7,1,0,12.5
17,Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,22,1998,9,7,745,8.3,11,1.33,40,29,75,4,2,1,3,42.9,1,1,0,0,0
18,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,es La Liga,25,1995,19,19,1637,18.2,27,1.48,60,34,56.7,7,6,6,4,21.1,1,1,0,0,0
19,Elias Bördner\Elias-Bordner,de GER,GK,Eint Frankfurt,de Bundesliga,18,2002,1,1,90,1,1,1,6,5,83.3,1,0,0,0,0,0,0,0,0,
20,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,es La Liga,29,1991,33,33,2970,33,28,0.85,100,78,76,21,5,7,15,45.5,6,4,2,0,33.3
21,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,es La Liga,37,1983,20,20,1800,20,25,1.25,69,48,69.6,8,8,4,7,35,5,4,1,0,20
22,Fabian Bredlow\Fabian-Bredlow,de GER,GK,Stuttgart,de Bundesliga,25,1995,1,1,90,1,1,1,9,8,88.9,1,0,0,0,0,0,0,0,0,
23,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,42,1978,8,8,720,8,5,0.62,17,14,82.4,7,1,0,3,37.5,3,2,1,0,33.3
24,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,29,1990,19,18,1665,18.5,30,1.62,89,63,70.8,9,2,7,4,22.2,4,4,0,0,0
25,Jack Butland\Jack-Butland,eng ENG,GK,Crystal Palace,eng Premier League,27,1993,1,1,90,1,2,2,5,3,60,1,0,0,0,0,0,0,0,0,
26,David Button\David-Button,eng ENG,GK,West Brom,eng Premier League,31,1989,1,1,90,1,2,2,7,5,71.4,1,0,0,0,0,0,0,0,0,
27,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,20,1999,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,
28,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,38,1981,1,1,90,1,3,3,3,0,0,0,1,0,0,0,0,0,0,0,
29,Marc-Aurèle Caillard\Marc-Aurele-Caillard,fr FRA,GK,Metz,fr Ligue 1,26,1994,5,4,361,4,10,2.49,20,13,65,0,1,3,0,0,3,3,0,0,0
30,Cárdenas\Cardenas,es ESP,GK,Levante,es La Liga,23,1997,8,8,720,8,11,1.37,41,26,73.2,1,3,4,1,12.5,1,0,0,1,
