,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
1,Rocco Ascone\Rocco-Ascone,fr FRA,FW,Lille,fr Ligue 1,16,2003,0,,,,,0,,,0,,4,,,,,,,,,,,
2,Reece Hannam\Reece-Hannam,eng ENG,DF,Crystal Palace,eng Premier League,19,2000,0,,,,,0,,,0,,5,,,,,,,,,,,
3,Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21,1999,2,11,6,0.3,0.1,0,,,2,6,18,2,0,0,0,0,0.24,0,0.3,-0.3,-2.34,-2.51
4,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,22,1777,81,52,19.7,20,88,,2,11,11,1.05,19,36,-17,-0.86,-0.42,15.9,29.8,-13.8,-0.7,-0.08
5,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,2,18,9,0.6,0.2,0,,,2,9,5,0,0,0,0,0,0.5,1,0,1,4.88,5.03
6,Basit Abdallah\Basit-Abdallah,gh GHA,MF,Benevento,it Serie A,20,1999,0,,,,,0,,,0,,13,,,,,,,,,,,
7,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,33,2889,88,84.5,32.1,33,88,,0,,0,1.18,37,39,-2,-0.06,0.95,29.9,48.9,-19,-0.59,0.88
8,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,3,60,20,1.8,0.7,0,,,3,20,16,0.67,1,2,-1,-1.5,-1.13,0.9,1.5,-0.7,-1.03,-0.85
9,Eris Abedini\Eris-Abedini,xk KVX,MF,Granada,es La Liga,21,1998,0,,,,,0,,,0,,1,,,,,,,,,,,
10,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,18,1320,73,38.6,14.7,15,83,,3,23,1,0.94,14,23,-9,-0.61,-0.66,16.9,23.5,-6.6,-0.45,-0.42
11,Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,38,2963,78,86.6,32.9,32,85,,6,40,0,1.11,42,53,-11,-0.33,1.04,42.2,43.7,-1.5,-0.05,0.51
12,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,24,912,38,26.7,10.1,9,64,,15,22,2,1.33,16,23,-7,-0.69,-0.51,15.3,16.1,-0.7,-0.07,-0.09
13,Matthis Abline\Matthis-Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,1,2,2,0.1,0,0,,,1,2,3,3,1,0,1,45,44.71,0.2,0,0.2,9.8,9.55
14,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,1260,90,36.8,14,14,90,,0,,1,1.64,21,18,3,0.21,0.84,20.2,18.7,1.5,0.11,0.18
15,Abdelkabir Abqar\Abdelkabir-Abqar,ma MAR,DF,Alavés,es La Liga,21,1999,0,,,,,0,,,0,,2,,,,,,,,,,,
