Unnamed: 0,Aerial Duels,Aerial Duels.1,Aerial Duels.2
Rk,Won,Lost,Won%
1,0,0,0
2,10,11,47.6
3,0,0,0
4,93,49,65.5
5,1,1,50
6,12,19,38.7
7,8,19,29.6
8,36,62,36.7
9,0,0,0
10,57,15,79.2
11,39,26,60
12,39,28,58.2
13,1,2,33.3
14,0,9,0
15,77,26,74.8
16,13,4,76.5
17,19,31,38
18,47,141,25
19,25,19,56.8
20,9,16,36
21,100,39,71.9
22,0,0,0
23,30,25,54.5
24,0,1,0
25,0,0,0
26,25,24,51
27,10,6,62.5
28,12,14,46.2
29,20,36,35.7
30,128,57,69.2
31,2,6,25
32,50,38,56.8
33,1,2,33.3
34,5,11,31.3
35,1,5,16.7
36,43,30,58.9
37,1,1,50
38,49,42,53.8
39,33,43,43.4
40,14,21,40
41,2,4,33.3
42,85,46,64.9
43,168,139,54.7
44,52,38,57.8
45,17,6,73.9
46,4,6,40
47,30,17,63.8
48,8,8,50
49,9,9,50
50,23,21,52.3
51,24,26,48
52,10,15,40
53,0,1,0
54,34,76,30.9
55,7,14,33.3
56,9,19,32.1
57,65,47,58
58,15,32,31.9
59,9,47,16.1
60,19,17,52.8
61,34,23,59.6
62,55,55,50
63,35,27,56.5
64,54,39,58.1
65,16,9,64
66,2,0,100
67,13,37,26
68,0,0,0
69,8,28,22.2
70,0,0,0
71,6,11,35.3
72,43,43,50
73,0,1,0
74,0,1,0
75,0,0,0
76,6,13,31.6
77,10,13,43.5
78,8,20,28.6
79,27,19,58.7
80,42,46,47.7
81,76,44,63.3
82,45,7,86.5
83,6,14,30
84,24,16,60
85,1,1,50
86,1,0,100
87,21,15,58.3
88,22,12,64.7
89,21,26,44.7
90,0,0,0
91,6,25,19.4
92,66,30,68.8
93,16,36,30.8
94,21,32,39.6
95,118,40,74.7
96,6,0,100
97,1,0,100
98,0,0,0
99,0,0,0
100,81,68,54.4
101,0,0,0
102,92,70,56.8
103,52,28,65
104,10,21,32.3
105,0,0,0
106,10,7,58.8
107,17,18,48.6
108,17,30,36.2
109,0,1,0
110,0,0,0
111,7,16,30.4
112,64,48,57.1
113,2,0,100
114,63,116,35.2
115,2,5,28.6
116,7,16,30.4
117,15,31,32.6
118,31,20,60.8
119,1,1,50
120,55,60,47.8
121,13,23,36.1
122,9,23,28.1
123,65,37,63.7
124,54,16,77.1
125,82,56,59.4
126,0,0,0
127,0,3,0
128,11,41,21.2
129,0,2,0
130,0,1,0
131,8,23,25.8
132,40,34,54.1
133,9,11,45
134,1,2,33.3
135,0,0,0
136,13,9,59.1
137,2,1,66.7
138,11,13,45.8
139,0,0,0
140,10,7,58.8
141,1,2,33.3
142,20,56,26.3
143,9,22,29
144,26,17,60.5
145,10,19,34.5
146,31,64,32.6
147,0,0,0
148,48,37,56.5
149,0,1,0
150,49,28,63.6
151,39,37,51.3
152,7,13,35
153,3,8,27.3
154,32,86,27.1
155,14,12,53.8
156,31,110,22
157,15,16,48.4
158,70,66,51.5
159,4,1,80
160,58,48,54.7
161,8,7,53.3
162,13,21,38.2
163,130,65,66.7
164,18,14,56.3
165,0,0,0
166,0,2,0
167,10,10,50
168,20,62,24.4
169,21,37,36.2
170,27,17,61.4
171,0,0,0
172,44,36,55
173,22,18,55
174,16,53,23.2
175,1,1,50
176,2,1,66.7
177,26,17,60.5
178,19,44,30.2
179,29,35,45.3
180,22,11,66.7
181,18,17,51.4
182,36,36,50
183,11,12,47.8
184,2,3,40
185,10,11,47.6
186,15,35,30
187,16,23,41
188,54,81,40
189,40,25,61.5
190,42,21,66.7
191,51,61,45.5
192,70,94,42.7
193,37,34,52.1
194,5,2,71.4
195,4,0,100
196,14,12,53.8
197,5,26,16.1
198,5,5,50
199,33,24,57.9
200,1,1,50
201,26,20,56.5
202,25,25,50
203,3,1,75
204,16,26,38.1
205,55,98,35.9
206,22,32,40.7
207,0,0,0
208,30,22,57.7
209,1,6,14.3
210,56,55,50.5
211,6,29,17.1
212,13,23,36.1
213,28,77,26.7
214,111,55,66.9
215,1,2,33.3
216,53,32,62.4
217,11,9,55
218,77,63,55
219,27,31,46.6
220,1,0,100
221,60,34,63.8
222,24,29,45.3
223,1,0,100
224,11,23,32.4
225,45,24,65.2
226,1,3,25
227,0,1,0
228,25,13,65.8
229,57,93,38
230,22,26,45.8
231,72,49,59.5
232,3,2,60
233,62,90,40.8
234,69,37,65.1
235,8,26,23.5
236,26,23,53.1
237,110,51,68.3
238,3,4,42.9
239,15,20,42.9
240,2,3,40
241,0,0,0
242,8,9,47.1
243,0,0,0
244,26,39,40
245,81,29,73.6
246,2,5,28.6
247,24,43,35.8
248,32,35,47.8
249,28,25,52.8
250,78,122,39
251,8,24,25
252,1,0,100
253,4,7,36.4
254,0,0,0
255,37,90,29.1
256,11,6,64.7
257,0,0,0
