Squad,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90
Inter,1,38,28,7,3,89,35,54,91,2.39,74.8,38.6,36.2,0.95
Bayern Munich,1,34,24,6,4,99,44,55,78,2.29,75.8,41.0,34.8,1.02
Manchester City,1,38,27,5,6,83,32,51,86,2.26,73.3,31.4,42.0,1.1
Atlético Madrid,1,38,26,8,4,67,25,42,86,2.26,52.4,32.7,19.6,0.52
Real Madrid,2,38,25,9,4,67,28,39,84,2.21,61.6,36.5,25.2,0.66
Lille,1,38,24,11,3,64,23,41,83,2.18,50.0,26.7,23.4,0.61
Paris S-G,2,38,26,4,8,86,28,58,82,2.16,82.4,37.3,45.1,1.19
Milan,2,38,24,7,7,74,41,33,79,2.08,71.2,45.7,25.5,0.67
Barcelona,3,38,24,7,7,85,38,47,79,2.08,78.9,39.6,39.3,1.03
Atalanta,3,38,23,9,6,90,47,43,78,2.05,77.1,42.3,34.8,0.92
Juventus,4,38,23,9,6,77,38,39,78,2.05,74.2,38.2,36.0,0.95
Monaco,3,38,24,6,8,76,42,34,78,2.05,66.9,33.1,33.8,0.89
Napoli,5,38,24,5,9,86,41,45,77,2.03,67.7,41.6,26.1,0.69
Sevilla,4,38,24,5,9,53,33,20,77,2.03,50.9,35.0,15.9,0.42
Lyon,4,38,22,10,6,81,43,38,76,2.0,84.6,43.2,41.4,1.09
Manchester Utd,2,38,21,11,6,73,44,29,74,1.95,60.2,42.2,18.0,0.47
RB Leipzig,2,34,19,8,7,60,32,28,65,1.91,65.3,29.1,36.2,1.07
Dortmund,3,34,20,4,10,75,46,29,64,1.88,68.6,40.4,28.3,0.83
Liverpool,3,38,20,9,9,68,42,26,69,1.82,72.6,45.3,27.3,0.72
Lazio,6,38,21,5,12,61,55,6,68,1.79,59.8,47.8,12.0,0.32
Wolfsburg,4,34,17,10,7,61,37,24,61,1.79,49.5,42.0,7.4,0.22
Chelsea,4,38,19,10,9,58,36,22,67,1.76,64.0,32.8,31.2,0.82
Eint Frankfurt,5,34,16,12,6,69,53,16,60,1.76,56.1,48.4,7.7,0.23
Leicester City,5,38,20,6,12,68,50,18,66,1.74,56.0,47.7,8.3,0.22
West Ham,6,38,19,8,11,62,47,15,65,1.71,53.9,48.3,5.6,0.15
Tottenham,7,38,18,8,12,68,45,23,62,1.63,54.5,49.5,5.0,0.13
Roma,7,38,18,8,12,68,58,10,62,1.63,68.9,51.4,17.5,0.46
Sassuolo,8,38,17,11,10,64,56,8,62,1.63,59.2,54.9,4.3,0.11
Real Sociedad,5,38,17,11,10,59,38,21,62,1.63,60.4,36.6,23.8,0.63
Arsenal,8,38,18,7,13,55,39,16,61,1.61,53.5,44.3,9.2,0.24
Betis,6,38,17,10,11,50,50,0,61,1.61,46.0,45.5,0.5,0.01
Marseille,5,38,16,12,10,54,47,7,60,1.58,47.5,46.0,1.5,0.04
Everton,10,38,17,8,13,47,48,-1,59,1.55,47.2,52.0,-4.8,-0.13
Leeds United,9,38,18,5,15,62,54,8,59,1.55,57.5,62.9,-5.4,-0.14
Villarreal,7,38,15,13,10,60,44,16,58,1.53,58.0,43.5,14.5,0.38
Rennes,6,38,16,10,12,52,40,12,58,1.53,50.0,40.0,9.9,0.26
Leverkusen,6,34,14,10,10,53,39,14,52,1.53,47.2,40.4,6.8,0.2
Lens,7,38,15,12,11,55,54,1,57,1.5,56.0,47.6,8.4,0.22
Union Berlin,7,34,12,14,8,50,43,7,50,1.47,45.8,41.3,4.5,0.13
Aston Villa,11,38,16,7,15,55,46,9,55,1.45,52.9,52.9,0.1,0.0
M'Gladbach,8,34,13,10,11,64,56,8,49,1.44,55.2,44.7,10.6,0.31
Montpellier,8,38,14,12,12,60,62,-2,54,1.42,47.9,65.7,-17.8,-0.47
Celta Vigo,8,38,14,11,13,55,57,-2,53,1.39,47.7,49.5,-1.8,-0.05
Sampdoria,9,38,15,7,16,52,54,-2,52,1.37,46.2,56.9,-10.7,-0.28
