Unnamed: 0,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles.4,Vs Dribbles,Vs Dribbles.1,Vs Dribbles.2,Vs Dribbles.3,Pressures,Pressures.1,Pressures.2,Pressures.3,Pressures.4,Pressures.5,Blocks,Blocks.1,Blocks.2,Blocks.3,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Rk,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
1,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,2,0
2,33,19,21,11,1,15,42,35.7,27,206,69,33.5,130,56,20,31,7,1,24,34,67,40,1
3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0
4,72,46,51,20,1,16,38,42.1,22,379,146,38.5,252,110,17,51,20,2,31,56,128,170,0
5,1,0,0,1,0,0,1,0,1,16,4,25,5,8,3,0,0,0,0,1,2,1,0
6,37,24,16,18,3,11,25,44,14,245,85,34.7,75,133,37,18,2,0,16,23,60,14,1
7,160,108,65,79,16,52,178,29.2,126,958,269,28.1,323,539,96,51,6,1,45,46,206,13,0
8,7,4,6,1,0,5,14,35.7,9,224,57,25.4,24,106,94,7,1,0,6,7,14,6,0
9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10,22,11,16,6,0,9,17,52.9,8,107,45,42.1,73,29,5,16,5,0,11,32,54,142,2
11,17,13,10,5,2,8,20,40,12,144,64,44.4,81,47,16,26,5,1,21,15,32,33,0
12,8,4,3,4,1,1,6,16.7,5,162,38,23.5,13,71,78,9,2,0,7,2,10,17,0
13,2,1,1,0,1,1,1,100,0,13,1,7.7,6,6,1,3,1,0,2,2,4,0,0
14,11,7,1,7,3,5,7,71.4,2,88,22,25,8,57,23,6,1,0,5,4,15,3,0
15,54,38,35,16,3,11,37,29.7,26,350,146,41.7,201,119,30,51,19,0,32,63,117,156,1
16,1,0,0,0,1,0,3,0,3,29,5,17.2,1,18,10,2,0,0,2,0,1,1,0
17,72,47,39,23,10,23,39,59,16,345,117,33.9,153,132,60,39,3,0,36,25,97,34,0
18,30,17,5,13,12,6,23,26.1,17,431,137,31.8,48,163,220,26,4,0,22,11,41,16,1
19,52,31,19,26,7,15,36,41.7,21,362,118,32.6,94,202,66,37,6,0,31,31,83,40,0
20,8,5,3,3,2,3,11,27.3,8,81,15,18.5,16,33,32,5,0,0,5,7,15,1,0
21,41,26,31,9,1,20,38,52.6,18,182,59,32.4,115,60,7,38,23,0,15,55,96,241,1
22,0,0,0,0,0,0,1,0,1,5,1,20,1,0,4,1,0,0,1,0,0,0,0
23,91,62,39,40,12,28,86,32.6,58,695,186,26.8,210,357,128,36,4,0,32,41,132,24,2
24,0,0,0,0,0,0,0,0,0,3,1,33.3,0,1,2,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
26,34,16,18,10,6,13,28,46.4,15,186,58,31.2,73,90,23,25,4,1,21,34,68,48,1
27,14,11,9,5,0,2,13,15.4,11,151,43,28.5,51,86,14,18,4,0,14,20,34,14,1
28,27,16,12,11,4,13,24,54.2,11,180,48,26.7,86,63,31,16,3,0,13,21,48,23,0
29,50,30,12,25,13,10,35,28.6,25,356,100,28.1,64,150,142,30,0,0,30,5,55,7,0
30,55,37,41,14,0,19,36,52.8,17,270,105,38.9,159,101,10,43,24,0,19,39,94,181,1
31,3,0,0,1,2,2,11,18.2,9,90,25,27.8,8,31,51,5,1,0,4,4,7,1,0
32,84,48,39,29,16,33,58,56.9,25,413,147,35.6,149,168,96,38,2,0,36,37,121,54,1
33,2,1,1,1,0,2,3,66.7,1,41,12,29.3,15,25,1,5,0,0,5,4,6,1,0
34,30,19,17,11,2,7,36,19.4,29,267,59,22.1,98,133,36,13,2,0,11,4,34,9,0
35,3,2,1,2,0,2,4,50,2,25,2,8,5,9,11,0,0,0,0,1,4,0,0
36,55,35,19,34,2,10,41,24.4,31,397,122,30.7,121,231,45,26,5,0,21,54,109,41,1
37,1,0,1,0,0,0,0,0,0,10,1,10,6,4,0,0,0,0,0,2,3,1,0
38,28,17,22,5,1,11,21,52.4,10,171,55,32.2,109,61,1,20,4,0,16,16,44,111,2
39,47,25,27,14,6,17,41,41.5,24,261,65,24.9,143,96,22,47,8,0,39,52,99,121,0
40,3,2,1,2,0,2,4,50,2,33,11,33.3,19,10,4,4,1,0,3,1,4,0,0
41,31,16,16,13,2,12,26,46.2,14,241,72,29.9,131,74,36,27,0,0,27,15,46,39,0
42,58,42,44,12,2,18,36,50,18,340,132,38.8,221,102,17,62,35,3,27,41,99,148,3
43,33,16,3,20,10,3,29,10.3,26,396,96,24.2,31,186,179,17,7,0,10,12,45,47,0
44,46,30,28,13,5,16,32,50,16,264,99,37.5,136,108,20,38,11,0,27,38,84,106,1
45,28,13,22,6,0,15,25,60,10,110,31,28.2,69,36,5,30,4,0,26,13,41,40,2
46,3,0,2,0,1,0,0,0,0,29,2,6.9,4,9,16,2,0,0,2,1,4,3,0
47,15,6,7,6,2,4,5,80,1,73,25,34.2,35,30,8,6,2,0,4,6,21,26,0
48,12,8,3,9,0,2,5,40,3,75,20,26.7,18,52,5,6,1,0,5,6,18,8,0
49,46,28,15,26,5,9,27,33.3,18,354,109,30.8,107,178,69,32,6,0,26,19,65,14,0
50,24,12,15,8,1,9,13,69.2,4,178,64,36,80,83,15,39,16,2,23,10,34,44,1
51,41,30,13,25,3,12,37,32.4,25,346,131,37.9,120,176,50,47,15,0,32,36,77,94,2
52,62,32,36,15,11,31,47,66,16,262,87,33.2,150,73,39,35,2,0,33,34,96,46,0
53,1,1,0,1,0,0,2,0,2,9,4,44.4,3,5,1,1,0,0,1,0,1,1,0
54,8,6,3,3,2,1,4,25,3,152,50,32.9,5,46,101,9,2,0,7,3,11,9,0
55,49,24,25,16,8,26,64,40.6,38,346,97,28,124,156,66,64,4,0,60,43,92,46,0
56,43,32,17,18,8,14,66,21.2,52,537,155,28.9,131,275,131,38,2,0,36,21,64,12,0
57,29,21,22,7,0,12,24,50,12,200,79,39.5,107,85,8,47,24,1,23,23,52,170,1
58,43,31,16,18,9,20,55,36.4,35,340,129,37.9,111,144,85,32,2,1,30,28,71,26,0
59,5,4,1,2,2,1,9,11.1,8,167,46,27.5,8,76,83,11,0,0,11,7,12,5,0
60,8,7,6,2,0,5,9,55.6,4,66,16,24.2,45,19,2,27,12,1,15,22,30,63,0
61,68,43,27,29,12,19,50,38,31,462,135,29.2,120,232,110,28,1,0,27,42,110,21,0
62,55,37,33,21,1,21,80,26.3,59,554,150,27.1,243,266,45,47,9,0,38,29,84,38,1
63,21,13,15,6,0,5,16,31.3,11,139,52,37.4,85,48,6,23,11,0,12,14,35,100,2
64,37,18,23,14,0,15,27,55.6,12,202,74,36.6,128,71,3,53,32,1,21,15,52,162,0
65,20,15,10,8,2,3,21,14.3,18,232,47,20.3,78,85,69,23,2,0,21,2,22,9,0
66,0,0,0,0,0,0,0,0,0,14,1,7.1,5,8,1,0,0,0,0,0,0,0,0
67,17,8,4,11,2,6,19,31.6,13,260,63,24.2,49,153,58,17,1,0,16,7,24,9,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,58,36,29,21,8,33,57,57.9,24,327,114,34.9,124,112,91,44,4,0,40,49,107,71,2
70,0,0,0,0,0,0,0,0,0,5,1,20,0,2,3,0,0,0,0,0,0,0,0
