Unnamed: 0,Expected,Expected.1,Expected.2,Expected.3
Rk,xG,npxG,xA,npxG+xA
1,0,0,0,0
2,1.2,1.2,0.8,2
3,0,0,0,0
4,1.7,1.7,0.3,1.9
5,0,0,0,0
6,1,1,0.8,1.7
7,1.3,1.3,1.4,2.7
8,2.1,2.1,0.3,2.4
9,0,0,0,0
10,1.2,1.2,0.1,1.2
11,0.7,0.7,0.5,1.1
12,6.4,6.4,0.9,7.3
13,0,0,0,0
14,0.3,0.3,0,0.3
15,1,1,1,1.9
16,0.3,0.3,0,0.3
17,1.1,1.1,2.8,4
18,8.8,8.8,5.8,14.5
19,0.9,0.9,0.9,1.8
20,2.2,2.2,1.7,3.9
21,1.1,1.1,0.4,1.5
22,0.2,0.2,0,0.2
23,1.4,1.4,4.7,6.1
24,0,0,0,0
25,0,0,0,0
26,0.2,0.2,0.9,1.1
27,0,0,0.1,0.1
28,0.6,0.6,0.4,1
29,1.9,1.9,0.7,2.7
30,2.9,2.9,0.9,3.8
31,3.3,1.8,1.3,3.1
32,1.2,1.2,4.6,5.8
33,0.3,0.3,0,0.4
34,1.6,1.6,0.3,1.9
35,0.2,0.2,0,0.2
36,2.3,2,1.2,3.1
37,0.1,0.1,0,0.1
38,0.8,0.8,0.6,1.4
39,1,1,1.4,2.3
40,0.6,0.6,1,1.6
41,0.1,0.1,0.4,0.4
42,1.3,1.3,0.3,1.5
43,16.5,12.7,3.7,16.4
44,1.8,1.8,0.1,1.9
45,0.4,0.4,0.3,0.6
46,1.1,1.1,0,1.1
47,0.1,0.1,0,0.1
48,0,0,0.4,0.4
49,0.9,0.9,0.9,1.8
50,0.1,0.1,0.4,0.4
51,1.3,1.3,2.3,3.6
52,0.2,0.2,1.2,1.3
53,0,0,0,0
54,6.5,5,0.7,5.7
55,2.4,2.4,7.4,9.8
56,5.5,5.3,8.2,13.5
57,0.6,0.6,1,1.6
58,1.3,1.3,4.4,5.7
59,8.3,6.7,3.2,9.9
60,0.1,0.1,0,0.1
61,1.4,1.4,2.3,3.7
62,1.7,1.7,0.6,2.3
63,0.5,0.5,0.1,0.6
64,0.8,0.8,0.3,1.2
65,1,1,0.8,1.7
66,0,0,0,0
67,1.9,1.9,2,3.9
68,0,0,0,0
69,2.8,2.8,8.1,10.8
70,0,0,0.1,0.1
71,1.4,1.4,0.1,1.5
72,1.5,1.5,3.1,4.6
73,0,0,0,0
74,0.1,0.1,0,0.1
75,0,0,0,0
76,0.2,0.2,0.9,1.1
77,1.4,1.4,0.9,2.3
78,3.2,3.2,2.8,5.9
79,1.7,1.7,1.1,2.8
80,0.3,0.3,0.9,1.2
81,0.5,0.5,0.4,0.9
82,0.3,0.3,0.1,0.4
83,0.7,0.7,0.5,1.1
84,2.1,2.1,0.3,2.4
85,0,0,0,0.1
86,0,0,0,0
87,0.4,0.4,0,0.4
88,0.2,0.2,0.3,0.5
89,1.4,1.4,1.5,2.9
90,0,0,0,0
91,2.1,2.1,2.9,5.1
92,0.3,0.3,0.9,1.3
93,0.4,0.4,0.5,0.9
94,0.4,0.4,0.1,0.4
95,1.1,1.1,0.5,1.6
96,0.3,0.3,0,0.3
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,5.5,4.7,0.3,5.1
101,0,0,0,0
102,1.1,1.1,1.3,2.4
103,2.5,2.5,2.2,4.7
104,0.3,0.3,0.5,0.8
105,0,0,0,0
106,0,0,0,0
107,0,0,0.9,1
108,3.8,3.8,5,8.8
109,0,0,0,0
110,0,0,0,0
111,1.7,0.9,5,5.9
112,1.2,1.2,0.4,1.6
113,0.2,0.2,0,0.2
114,11.4,11.4,2.3,13.7
115,0,0,0,0
116,10.3,8.8,4,12.8
117,3.3,3.3,5.1,8.4
118,0.2,0.2,1,1.2
119,0.1,0.1,0,0.1
120,2.2,2.2,2.1,4.3
121,0.7,0.7,0.8,1.4
122,3.7,3.7,2.6,6.3
123,0.3,0.3,0.7,1
124,1.6,1.6,0.1,1.7
125,1.2,1.2,0.9,2.1
126,0,0,0,0
127,0,0,0,0
128,1,1,0.2,1.2
129,0,0,0,0
130,0,0,0,0
131,3,3,2.7,5.7
132,2,2,4.8,6.8
133,0.4,0.4,0,0.4
134,0,0,0,0.1
135,0,0,0,0
136,1,1,0.3,1.3
137,0.1,0.1,0,0.1
138,0.6,0.6,0.2,0.8
139,0,0,0,0
140,4.9,4.9,3,7.9
141,0,0,0,0
142,12.5,8.7,8.3,17
143,0.8,0.8,0.6,1.5
144,0.2,0.2,0.1,0.4
145,0.6,0.6,0.5,1.1
146,10.6,9.1,2.8,11.9
147,0,0,0.4,0.4
148,0.3,0.3,3.1,3.4
149,0,0,0,0
150,0.9,0.9,2.8,3.7
151,1.4,1.4,1.9,3.2
152,0.2,0.2,0,0.2
153,0.7,0.7,0,0.7
154,6.9,6.9,1.5,8.4
155,0,0,0.5,0.5
156,2.4,2.4,0.7,3
157,0.5,0.5,0,0.5
158,1.4,1.4,2.6,4
159,0.2,0.2,0,0.2
160,0.8,0.8,2.6,3.4
161,0,0,0.6,0.6
162,3.5,3.5,0.9,4.4
163,0.6,0.6,0.3,0.9
164,0.5,0.5,2.8,3.3
165,0,0,0,0
166,0.1,0.1,0.1,0.1
167,1.5,1.5,0.6,2.2
168,7.4,6.6,1.4,8
169,6.9,6.9,6.1,13
170,0.1,0.1,0,0.1
171,0,0,0,0
172,1.1,1.1,0.8,1.9
173,0.2,0.2,1.9,2.1
174,3.3,3.3,4.5,7.8
