Unnamed: 0,Per 90 Minutes.5,Per 90 Minutes.6,Per 90 Minutes.7,Per 90 Minutes.8,Per 90 Minutes.9
Rk,xG,xA,xG+xA,npxG,npxG+xA
1,0,0,0,0,0
2,0.06,0.04,0.1,0.06,0.1
3,0,0,0,0,0
4,0.05,0.01,0.06,0.05,0.06
5,0,0,0,0,0
6,0.07,0.05,0.12,0.07,0.12
7,0.04,0.04,0.08,0.04,0.08
8,0.21,0.03,0.24,0.21,0.24
9,0,0,0,0,0
10,0.08,0,0.09,0.08,0.09
11,0.05,0.03,0.08,0.05,0.08
12,0.56,0.07,0.63,0.56,0.63
13,0,0,0,0,0
14,0.06,0,0.06,0.06,0.06
15,0.03,0.03,0.06,0.03,0.06
16,0.24,0,0.24,0.24,0.24
17,0.04,0.11,0.15,0.04,0.15
18,0.3,0.19,0.49,0.3,0.49
19,0.04,0.04,0.09,0.04,0.09
20,0.41,0.32,0.74,0.41,0.74
21,0.03,0.01,0.04,0.03,0.04
22,0.43,0,0.43,0.43,0.43
23,0.05,0.18,0.23,0.05,0.23
24,0,0,0,0,0
25,0,0,0,0,0
26,0.01,0.05,0.06,0.01,0.06
27,0,0.01,0.01,0,0.01
28,0.07,0.05,0.13,0.07,0.13
29,0.13,0.05,0.18,0.13,0.18
30,0.08,0.03,0.11,0.08,0.11
31,0.54,0.21,0.75,0.29,0.5
32,0.05,0.19,0.23,0.05,0.23
33,0.12,0.02,0.13,0.12,0.13
34,0.16,0.03,0.19,0.16,0.19
35,0.11,0,0.11,0.11,0.11
36,0.1,0.05,0.15,0.08,0.13
37,0.26,0,0.26,0.26,0.26
38,0.06,0.04,0.1,0.06,0.1
39,0.03,0.05,0.08,0.03,0.08
40,0.04,0.06,0.1,0.04,0.1
41,0.04,0.17,0.21,0.04,0.21
42,0.04,0.01,0.05,0.04,0.05
43,0.5,0.11,0.61,0.39,0.5
44,0.07,0,0.07,0.07,0.07
45,0.04,0.03,0.07,0.04,0.07
46,0.67,0,0.67,0.67,0.67
47,0.01,0,0.02,0.01,0.02
48,0,0.08,0.08,0,0.08
49,0.08,0.08,0.16,0.08,0.16
50,0,0.03,0.03,0,0.03
51,0.04,0.08,0.12,0.04,0.12
52,0.01,0.07,0.08,0.01,0.08
53,0.02,0,0.02,0.02,0.02
54,0.47,0.05,0.52,0.36,0.41
55,0.07,0.22,0.29,0.07,0.29
56,0.19,0.28,0.47,0.18,0.46
57,0.02,0.03,0.05,0.02,0.05
58,0.07,0.23,0.29,0.07,0.29
59,0.48,0.19,0.67,0.39,0.58
60,0.01,0,0.01,0.01,0.01
61,0.07,0.11,0.18,0.07,0.18
62,0.07,0.03,0.09,0.07,0.09
63,0.03,0.01,0.04,0.03,0.04
64,0.03,0.01,0.05,0.03,0.05
65,0.11,0.08,0.19,0.11,0.19
66,0.04,0,0.04,0.04,0.04
67,0.12,0.13,0.26,0.12,0.26
68,0,0,0,0,0
69,0.08,0.24,0.32,0.08,0.32
70,0.13,0.22,0.35,0.13,0.35
71,0.36,0.03,0.39,0.36,0.39
72,0.05,0.11,0.17,0.05,0.17
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0.01,0.04,0.05,0.01,0.05
77,0.2,0.13,0.33,0.2,0.33
78,0.12,0.1,0.22,0.12,0.22
79,0.16,0.11,0.27,0.16,0.27
80,0.02,0.05,0.07,0.02,0.07
81,0.02,0.02,0.04,0.02,0.04
82,0.02,0.01,0.02,0.02,0.02
83,0.07,0.05,0.11,0.07,0.11
84,0.12,0.02,0.14,0.12,0.14
85,0.03,0.02,0.04,0.03,0.04
86,0,0,0,0,0
87,0.05,0,0.05,0.05,0.05
88,0.02,0.03,0.06,0.02,0.06
89,0.17,0.18,0.35,0.17,0.35
90,0,0,0,0,0
91,0.1,0.14,0.24,0.1,0.24
92,0.01,0.04,0.06,0.01,0.06
93,0.02,0.02,0.03,0.02,0.03
94,0.04,0.01,0.05,0.04,0.05
95,0.04,0.02,0.05,0.04,0.05
96,0.14,0,0.14,0.14,0.14
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0.44,0.03,0.47,0.38,0.41
101,0,0,0,0,0
102,0.03,0.04,0.08,0.03,0.08
103,0.09,0.08,0.17,0.09,0.17
104,0.02,0.03,0.04,0.02,0.04
105,0,0,0,0,0
106,0.02,0,0.02,0.02,0.02
107,0,0.09,0.1,0,0.1
108,0.16,0.21,0.37,0.16,0.37
109,0,0,0,0,0
110,0,0,0,0,0
111,0.08,0.23,0.31,0.04,0.27
112,0.04,0.01,0.05,0.04,0.05
113,0.69,0,0.69,0.69,0.69
114,0.52,0.11,0.62,0.52,0.62
115,0.01,0.01,0.01,0.01,0.01
116,0.52,0.2,0.72,0.44,0.65
117,0.17,0.27,0.44,0.17,0.44
118,0.01,0.06,0.07,0.01,0.07
119,0.5,0,0.5,0.5,0.5
120,0.07,0.06,0.13,0.07,0.13
121,0.04,0.04,0.08,0.04,0.08
122,0.22,0.16,0.38,0.22,0.38
123,0.01,0.02,0.04,0.01,0.04
124,0.09,0.01,0.1,0.09,0.1
125,0.04,0.03,0.07,0.04,0.07
126,0,0,0,0,0
127,0,0,0,0,0
128,0.31,0.07,0.38,0.31,0.38
129,0.04,0,0.04,0.04,0.04
130,0,0,0,0,0
131,0.1,0.09,0.18,0.1,0.18
132,0.07,0.17,0.24,0.07,0.24
133,0.34,0.01,0.35,0.34,0.35
134,0.02,0.03,0.05,0.02,0.05
135,0,0,0,0,0
136,0.05,0.02,0.07,0.05,0.07
137,0.03,0,0.03,0.03,0.03
138,0.07,0.03,0.09,0.07,0.09
139,0,0,0,0,0
140,0.23,0.15,0.38,0.23,0.38
141,0.01,0,0.01,0.01,0.01
142,0.39,0.26,0.65,0.27,0.54
143,0.09,0.07,0.16,0.09,0.16
144,0.02,0.02,0.04,0.02,0.04
145,0.06,0.05,0.11,0.06,0.11
146,0.41,0.11,0.52,0.35,0.46
147,0,0.01,0.01,0,0.01
148,0.01,0.09,0.1,0.01,0.1
149,0,0,0,0,0
150,0.04,0.13,0.17,0.04,0.17
151,0.08,0.11,0.18,0.08,0.18
152,0.13,0,0.13,0.13,0.13
153,0.31,0,0.31,0.31,0.31
154,0.46,0.1,0.56,0.46,0.56
