Unnamed: 0,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6
Rk,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
1,0,0,0,0,0,0,0
2,0,1,0,0,0,2,0
3,0,0,0,0,0,0,0
4,3,0,3,0,0,4,1
5,0,0,0,0,0,1,0
6,0,0,0,0,0,5,0
7,3,1,3,0,0,5,0
8,3,2,3,0,0,1,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,1,0
11,1,0,1,0,0,5,1
12,6,1,6,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,2,0
15,0,1,0,0,0,9,1
16,1,0,1,0,0,1,0
17,1,2,1,0,0,5,0
18,9,5,9,0,0,1,0
19,1,1,1,0,0,3,0
20,2,3,2,0,0,2,0
21,0,0,0,0,0,1,0
22,0,0,0,0,0,0,0
23,2,5,2,0,0,6,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,1,0,0,0,1,0
27,0,0,0,0,0,2,0
28,1,0,1,0,0,0,0
29,1,2,1,0,0,4,0
30,3,1,3,0,0,6,0
31,4,1,3,1,2,0,0
32,1,3,1,0,0,6,0
33,0,0,0,0,0,2,1
34,2,0,2,0,0,0,0
35,0,0,0,0,0,0,0
36,2,2,2,0,0,9,0
37,0,0,0,0,0,0,0
38,0,0,0,0,0,3,0
39,2,1,2,0,0,3,0
40,1,1,1,0,0,1,0
41,0,1,0,0,0,0,0
42,2,0,2,0,0,3,1
43,16,4,12,4,5,5,0
44,2,0,2,0,0,4,0
45,1,0,1,0,0,3,1
46,0,0,0,0,0,0,0
47,1,0,1,0,0,4,0
48,0,0,0,0,0,5,1
49,0,1,0,0,0,9,0
50,1,0,1,0,0,1,0
51,2,4,2,0,0,4,0
52,0,2,0,0,0,4,0
53,0,0,0,0,0,0,0
54,11,2,9,2,2,2,0
55,3,5,3,0,0,9,0
56,9,2,9,0,0,5,0
57,0,0,0,0,0,7,0
58,1,5,1,0,0,2,0
59,6,4,5,1,2,0,0
60,0,0,0,0,0,2,0
61,1,0,1,0,0,4,0
62,1,0,1,0,0,10,0
63,0,0,0,0,0,2,0
64,1,0,1,0,0,2,0
65,1,1,1,0,0,5,0
66,0,0,0,0,0,1,0
67,2,2,2,0,0,1,0
68,0,0,0,0,0,0,0
69,2,7,2,0,0,2,0
70,0,0,0,0,0,0,0
71,0,0,0,0,0,1,0
72,2,3,2,0,0,7,0
73,0,0,0,0,0,0,0
74,1,0,1,0,0,1,0
75,0,0,0,0,0,2,0
76,0,0,0,0,0,6,0
77,0,1,0,0,0,0,0
78,4,1,4,0,0,3,0
79,2,0,2,0,0,2,0
80,0,0,0,0,0,3,0
81,1,0,1,0,0,6,0
82,1,0,1,0,0,3,0
83,1,0,1,0,0,2,0
84,0,0,0,0,0,6,0
85,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0
87,1,0,1,0,0,3,0
88,1,0,1,0,0,3,1
89,0,1,0,0,0,4,0
90,0,0,0,0,0,0,0
91,2,6,2,0,0,5,0
92,0,0,0,0,0,3,0
93,0,0,0,0,0,7,0
94,0,0,0,0,0,1,0
95,1,1,1,0,0,7,1
96,0,0,0,0,0,1,0
97,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0
100,3,0,2,1,1,1,0
101,0,0,0,0,0,0,0
102,0,1,0,0,0,10,0
103,5,2,5,0,0,5,1
104,0,1,0,0,0,5,0
105,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0
107,0,0,0,0,0,3,0
108,4,4,4,0,0,2,0
109,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0
111,1,6,0,1,1,1,0
112,0,1,0,0,0,3,0
113,0,0,0,0,0,1,0
114,10,5,10,0,0,3,0
115,0,0,0,0,0,1,0
116,7,3,5,2,2,3,1
117,2,5,2,0,0,2,0
118,0,2,0,0,0,3,0
119,0,0,0,0,0,0,0
120,3,0,3,0,0,11,0
121,0,0,0,0,0,4,0
122,4,2,4,0,0,5,0
123,0,0,0,0,0,5,0
124,2,1,2,0,0,3,0
125,0,1,0,0,0,8,0
126,0,0,0,0,0,2,0
127,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0
129,0,0,0,0,0,1,0
130,0,0,0,0,0,0,0
131,4,5,4,0,0,3,0
132,3,6,3,0,0,7,1
133,0,0,0,0,0,0,0
134,0,0,0,0,0,1,0
135,0,0,0,0,0,1,0
136,3,0,3,0,0,9,0
137,0,0,0,0,0,0,0
138,1,0,1,0,0,2,0
139,0,0,0,0,0,2,0
140,5,2,5,0,0,1,0
