Unnamed: 0,Per 90 Minutes,Per 90 Minutes.1,Per 90 Minutes.2,Per 90 Minutes.3,Per 90 Minutes.4
Rk,Gls,Ast,G+A,G-PK,G+A-PK
1,0,0,0,0,0
2,0,0.05,0.05,0,0.05
3,0,0,0,0,0
4,0.09,0,0.09,0.09,0.09
5,0,0,0,0,0
6,0,0,0,0,0
7,0.09,0.03,0.12,0.09,0.12
8,0.3,0.2,0.49,0.3,0.49
9,0,0,0,0,0
10,0,0,0,0,0
11,0.07,0,0.07,0.07,0.07
12,0.52,0.09,0.61,0.52,0.61
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0.03,0.03,0,0.03
16,0.9,0,0.9,0.9,0.9
17,0.04,0.08,0.12,0.04,0.12
18,0.3,0.17,0.47,0.3,0.47
19,0.05,0.05,0.1,0.05,0.1
20,0.38,0.56,0.94,0.38,0.94
21,0,0,0,0,0
22,0,0,0,0,0
23,0.07,0.19,0.26,0.07,0.26
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0.06,0.06,0,0.06
27,0,0,0,0,0
28,0.13,0,0.13,0.13,0.13
29,0.07,0.13,0.2,0.07,0.2
30,0.09,0.03,0.11,0.09,0.11
31,0.64,0.16,0.81,0.48,0.64
32,0.04,0.12,0.16,0.04,0.16
33,0,0,0,0,0
34,0.2,0,0.2,0.2,0.2
35,0,0,0,0,0
36,0.08,0.08,0.17,0.08,0.17
37,0,0,0,0,0
38,0,0,0,0,0
39,0.07,0.03,0.1,0.07,0.1
40,0.06,0.06,0.13,0.06,0.13
41,0,0.48,0.48,0,0.48
42,0.06,0,0.06,0.06,0.06
43,0.49,0.12,0.61,0.36,0.49
44,0.08,0,0.08,0.08,0.08
45,0.1,0,0.1,0.1,0.1
46,0,0,0,0,0
47,0.11,0,0.11,0.11,0.11
48,0,0,0,0,0
49,0,0.09,0.09,0,0.09
50,0.08,0,0.08,0.08,0.08
51,0.07,0.13,0.2,0.07,0.2
52,0,0.12,0.12,0,0.12
53,0,0,0,0,0
54,0.8,0.14,0.94,0.65,0.8
55,0.09,0.15,0.24,0.09,0.24
56,0.31,0.07,0.38,0.31,0.38
57,0,0,0,0,0
58,0.05,0.26,0.31,0.05,0.31
59,0.35,0.23,0.58,0.29,0.52
60,0,0,0,0,0
