Unnamed: 0,SCA,SCA.1,SCA Types,SCA Types.1,SCA Types.2,SCA Types.3,SCA Types.4,SCA Types.5,GCA,GCA.1,GCA Types,GCA Types.1,GCA Types.2,GCA Types.3,GCA Types.4,GCA Types.5
Rk,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,26,1.32,22,3,1,0,0,0,3,0.15,2,1,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,0.34,10,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,28,1.91,18,4,2,0,2,2,1,0.07,1,0,0,0,0,0
7,56,1.7,40,1,1,5,4,5,9,0.27,6,0,0,1,1,1
8,14,1.38,11,1,1,0,1,0,2,0.2,2,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,0.5,4,0,0,2,1,0,0,0,0,0,0,0,0,0
11,2,0.15,2,0,0,0,0,0,0,0,0,0,0,0,0,0
12,18,1.56,11,0,1,3,3,0,2,0.17,1,0,0,0,1,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,1.22,5,0,0,0,1,0,0,0,0,0,0,0,0,0
15,32,1.02,27,1,0,2,0,2,4,0.13,4,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,58,2.24,39,11,5,2,0,1,4,0.15,2,1,0,1,0,0
18,66,2.23,48,0,1,6,8,3,8,0.27,7,0,0,0,1,0
19,27,1.31,23,0,0,0,3,1,3,0.15,2,0,0,0,0,1
20,22,4.13,15,1,1,2,3,0,6,1.13,3,0,0,2,1,0
21,17,0.52,16,0,0,1,0,0,1,0.03,1,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,92,3.42,68,9,6,1,3,5,8,0.3,6,1,0,1,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,23,1.33,14,7,0,0,1,1,3,0.17,2,1,0,0,0,0
27,6,0.68,6,0,0,0,0,0,2,0.23,2,0,0,0,0,0
28,6,0.77,4,0,1,0,1,0,1,0.13,1,0,0,0,0,0
29,35,2.32,17,1,4,5,5,3,4,0.27,3,0,0,1,0,0
30,14,0.4,12,0,0,2,0,0,1,0.03,1,0,0,0,0,0
31,16,2.58,13,0,2,0,0,1,3,0.48,2,0,1,0,0,0
32,72,2.91,56,9,2,1,4,0,8,0.32,6,0,1,0,1,0
33,2,0.71,1,0,1,0,0,0,0,0,0,0,0,0,0,0
34,10,1,4,2,0,0,2,2,0,0,0,0,0,0,0,0
35,1,0.7,0,0,0,0,1,0,1,0.7,0,0,0,0,1,0
36,25,1.05,19,1,0,2,2,1,4,0.17,2,0,0,1,0,1
37,1,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,10,0.7,7,0,1,2,0,0,2,0.14,2,0,0,0,0,0
39,26,0.88,22,2,0,0,1,1,4,0.14,4,0,0,0,0,0
40,8,3.85,6,0,2,0,0,0,2,0.96,1,0,1,0,0,0
41,30,1.92,19,3,7,0,1,0,2,0.13,1,0,1,0,0,0
42,14,0.45,11,0,2,1,0,0,3,0.1,2,0,0,1,0,0
43,68,2.06,48,0,1,11,8,0,8,0.24,4,0,1,1,2,0
44,15,0.57,10,1,0,2,1,1,1,0.04,1,0,0,0,0,0
45,5,0.52,4,0,1,0,0,0,0,0,0,0,0,0,0,0
46,1,0.62,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,3,0.34,2,0,0,0,1,0,0,0,0,0,0,0,0,0
48,5,1.19,4,0,0,0,0,1,0,0,0,0,0,0,0,0
49,19,1.62,14,0,1,0,1,3,1,0.09,1,0,0,0,0,0
50,5,0.38,4,1,0,0,0,0,1,0.08,1,0,0,0,0,0
51,49,1.65,44,1,0,3,0,1,6,0.2,5,1,0,0,0,0
52,16,0.96,12,1,1,0,2,0,3,0.18,2,0,0,0,1,0
53,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0
54,27,1.95,21,0,2,1,3,0,3,0.22,2,0,0,1,0,0
55,86,2.56,83,1,1,0,0,1,9,0.27,9,0,0,0,0,0
56,144,4.95,110,24,4,3,2,1,5,0.17,4,0,1,0,0,0
57,14,0.4,14,0,0,0,0,0,2,0.06,2,0,0,0,0,0
58,71,3.66,53,5,4,1,2,6,11,0.57,7,2,0,1,0,1
59,28,1.63,21,1,2,3,1,0,9,0.52,6,0,1,2,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,2.96,51,2,3,2,1,2,2,0.1,2,0,0,0,0,0
62,22,0.91,20,0,0,2,0,0,2,0.08,2,0,0,0,0,0
