Unnamed: 0,Total,Total.1,Total.2,Total.3,Total.4,Short,Short.1,Short.2,Medium,Medium.1,Medium.2,Long,Long.1,Long.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
Rk,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog
1,2,2,100,57,15,0,0,0,1,1,100,1,1,100,0,0,0,0,0,0,0,0
2,889,1127,78.9,14905,6945,454,512,88.7,340,418,81.3,78,151,51.7,1,0.8,0.2,11,68,26,4,112
3,13,15,86.7,260,106,6,7,85.7,5,6,83.3,2,2,100,0,0,0,0,1,0,0,1
4,1506,1715,87.8,33695,11616,336,377,89.1,893,951,93.9,267,366,73,0,0.3,-0.3,4,81,1,0,91
5,7,12,58.3,133,9,2,2,100,4,5,80,1,3,33.3,0,0,0,0,0,1,0,1
6,616,725,85,12193,2951,247,263,93.9,250,284,88,103,154,66.9,0,0.8,-0.8,12,60,7,4,42
7,1330,1592,83.5,25835,6521,530,603,87.9,575,639,90,200,289,69.2,1,1.4,-0.4,21,113,17,4,111
8,144,214,67.3,1899,334,84,109,77.1,37,52,71.2,6,20,30,2,0.3,1.7,8,9,5,0,11
9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,505,624,80.9,12189,4391,125,134,93.3,242,274,88.3,132,205,64.4,0,0.1,-0.1,3,30,2,0,31
11,564,689,81.9,12077,4254,177,204,86.8,277,310,89.4,106,161,65.8,0,0.5,-0.5,2,50,3,2,43
12,149,218,68.3,2057,327,92,118,78,39,64,60.9,9,15,60,1,0.9,0.1,8,12,2,0,11
13,18,22,81.8,295,27,7,9,77.8,9,10,90,1,1,100,0,0,0,0,1,0,0,0
14,189,225,84,3834,625,75,84,89.3,79,93,84.9,33,43,76.7,0,0,0,1,14,3,1,16
15,1804,2035,88.6,38632,10443,558,605,92.2,867,918,94.4,344,456,75.4,1,1,0,12,115,20,9,99
16,19,35,54.3,228,29,13,21,61.9,5,9,55.6,0,0,0,0,0,0,0,1,0,0,1
17,1426,1771,80.5,28082,11413,558,612,91.2,656,750,87.5,196,359,54.6,2,2.8,-0.8,33,110,36,18,122
18,443,633,70,7359,1633,227,302,75.2,143,184,77.7,51,73,69.9,5,5.8,-0.8,34,27,25,2,61
19,1184,1375,86.1,19562,5363,587,648,90.6,488,542,90,88,140,62.9,1,0.9,0.1,13,85,19,2,90
20,120,167,71.9,1938,466,60,78,76.9,42,51,82.4,12,20,60,3,1.7,1.3,12,6,8,1,14
21,1594,1824,87.4,37337,11928,304,340,89.4,934,985,94.8,346,470,73.6,0,0.4,-0.4,5,68,5,1,73
22,7,10,70,99,1,3,3,100,3,4,75,0,2,0,0,0,0,0,0,0,0,0
23,1346,1629,82.6,27370,6805,506,566,89.4,562,648,86.7,245,347,70.6,5,4.7,0.3,53,148,24,4,141
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,76,99,76.8,2031,1135,16,16,100,37,38,97.4,21,43,48.8,0,0,0,0,0,0,0,0
26,520,727,71.5,9660,4691,229,272,84.2,225,300,75,57,121,47.1,1,0.9,0.1,12,40,16,8,45
27,443,494,89.7,8945,1965,159,170,93.5,201,219,91.8,74,92,80.4,0,0.1,-0.1,2,39,4,0,36
28,210,289,72.7,3403,1143,117,136,86,74,101,73.3,14,35,40,0,0.4,-0.4,3,9,4,3,10
29,232,320,72.5,4192,919,109,133,82,88,115,76.5,29,49,59.2,2,0.7,1.3,11,18,12,0,30
30,2430,2658,91.4,49991,18054,825,862,95.7,1173,1227,95.6,404,535,75.5,1,0.9,0.1,4,137,0,0,136
31,143,170,84.1,1867,285,82,94,87.2,42,48,87.5,5,5,100,1,1.3,-0.3,6,11,6,1,12
