Unnamed: 0,Unnamed: 9,Pass Types,Pass Types.1,Pass Types.2,Pass Types.3,Pass Types.4,Pass Types.5,Pass Types.6,Pass Types.7,Corner Kicks,Corner Kicks.1,Corner Kicks.2,Height,Height.1,Height.2,Body Parts,Body Parts.1,Body Parts.2,Body Parts.3,Body Parts.4,Outcomes,Outcomes.1,Outcomes.2,Outcomes.3,Outcomes.4
Rk,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
1,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0
2,1127,932,195,36,2,112,20,34,2,0,2,0,717,219,191,743,194,25,157,3,889,12,22,29,34
3,15,12,3,0,0,0,0,0,0,0,0,0,10,4,1,0,12,0,3,0,13,0,0,0,0
4,1715,1656,59,59,0,168,39,0,0,0,0,0,1365,124,226,1135,475,57,0,3,1506,4,26,24,13
5,12,12,0,0,0,7,1,1,0,0,0,0,8,0,4,1,10,1,0,0,7,0,1,1,1
6,725,676,49,32,1,83,33,21,14,7,4,3,544,70,111,100,589,19,3,4,616,5,15,10,7
7,1592,1546,46,37,2,318,53,18,1,1,0,0,1174,198,220,137,1391,45,7,5,1330,5,28,50,28
8,214,199,15,0,1,77,2,4,0,0,0,0,140,33,41,142,26,16,0,3,144,0,7,1,14
9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
10,624,598,26,24,0,67,43,1,0,0,0,0,424,51,149,191,387,30,2,0,505,0,15,5,3
11,689,632,57,17,1,75,23,8,0,0,0,0,433,93,163,68,500,54,40,1,564,3,7,5,10
12,218,208,10,2,0,77,1,4,0,0,0,0,136,54,28,17,147,18,0,12,149,0,4,3,13
13,22,22,0,0,0,9,0,0,0,0,0,0,19,2,1,1,20,0,0,0,18,0,0,1,0
14,225,221,4,3,0,35,7,7,1,0,0,0,177,17,31,198,20,6,0,1,189,2,6,5,3
15,2035,1927,108,54,1,183,73,26,0,0,0,0,1467,208,360,1538,339,93,24,4,1804,4,27,15,15
16,35,35,0,0,0,16,0,0,0,0,0,0,15,11,9,3,16,4,0,0,19,0,0,1,4
17,1771,1491,280,44,2,177,67,81,24,3,17,1,1047,297,427,1293,212,39,212,2,1426,3,30,36,48
18,633,621,12,1,8,176,14,13,0,0,0,0,398,125,110,39,500,36,0,24,443,6,9,28,33
19,1375,1274,101,23,0,184,9,12,0,0,0,0,1025,176,174,153,1057,57,78,8,1184,1,7,33,28
20,167,162,5,1,0,38,3,6,0,0,0,0,103,34,30,22,118,14,3,4,120,1,6,6,13
21,1824,1775,49,42,2,174,49,3,0,0,0,0,1409,128,287,248,1442,81,7,3,1594,3,32,21,16
22,10,10,0,0,0,0,0,2,0,0,0,0,7,1,2,9,0,1,0,0,7,0,0,0,0
23,1629,1569,60,38,10,259,71,30,18,7,5,3,1262,158,209,135,1435,31,4,5,1346,6,27,43,36
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,99,70,29,7,0,9,1,0,0,0,0,0,57,9,33,12,66,0,0,20,76,1,2,0,0
26,727,546,181,18,1,82,18,22,1,0,0,0,353,158,216,62,444,44,162,1,520,5,22,28,19
27,494,480,14,13,1,75,19,0,0,0,0,0,376,43,75,77,384,21,1,3,443,3,5,8,1
28,289,223,66,1,0,46,5,10,0,0,0,0,167,58,64,47,159,14,65,0,210,0,5,16,11
29,320,304,16,0,0,100,9,10,2,0,0,0,222,60,38,252,40,10,2,2,232,1,11,7,19
30,2658,2586,72,71,1,169,71,1,0,0,0,0,2258,146,254,2264,266,69,1,5,2430,1,22,15,9
31,170,160,10,0,0,29,1,2,0,0,0,0,144,18,8,14,150,2,1,2,143,0,0,4,8
32,1599,1374,225,32,2,133,51,100,22,8,10,2,1023,246,330,33,1304,54,171,5,1317,5,16,24,31
33,120,118,2,2,0,30,1,1,0,0,0,0,104,7,9,12,103,4,0,0,108,0,0,1,4
34,336,328,8,8,0,39,9,4,0,0,0,0,277,25,34,261,56,13,0,2,266,1,16,8,12
35,20,17,3,0,0,4,0,1,0,0,0,0,11,7,2,3,12,2,1,1,15,0,1,0,0
36,839,826,13,10,0,127,16,5,1,1,0,0,635,93,111,642,129,37,2,3,706,2,17,17,14
37,10,10,0,0,0,1,0,0,0,0,0,0,9,0,1,7,3,0,0,0,8,0,1,0,0
38,627,610,17,16,2,95,9,1,0,0,0,0,464,59,104,100,467,35,1,4,518,5,18,10,12
39,1711,1428,283,33,0,121,38,42,0,0,0,0,1007,270,434,292,1068,84,250,4,1329,1,24,43,45
40,149,129,20,0,0,11,2,4,0,0,0,0,116,15,18,117,8,2,20,0,136,0,0,1,1
41,785,651,134,7,0,78,12,30,7,1,3,3,518,162,105,569,67,20,120,2,657,1,5,10,33
42,948,888,60,11,1,121,29,6,0,0,0,0,574,110,264,49,728,71,49,3,705,7,28,29,12
43,907,852,55,0,2,294,44,33,0,0,0,0,448,264,195,482,172,89,7,20,645,1,27,21,42
44,2097,2036,61,48,1,167,71,0,0,0,0,0,1811,125,161,485,1499,74,13,3,1949,5,18,23,13
45,349,239,110,9,0,49,8,16,0,0,0,0,142,98,109,18,194,25,101,1,233,2,14,13,10
46,35,33,2,0,0,11,0,1,0,0,0,0,21,6,8,3,24,3,0,1,28,1,2,2,1
47,755,730,25,13,0,44,10,0,0,0,0,0,659,32,64,583,116,21,11,3,702,0,3,7,7
48,183,182,1,1,0,20,3,2,0,0,0,0,150,16,17,21,151,5,0,1,168,0,1,3,0
49,354,336,18,4,2,55,6,1,0,0,0,0,255,64,35,59,263,12,12,3,288,1,9,9,14
50,737,676,61,29,0,82,13,7,2,1,0,0,559,55,123,98,574,25,30,0,606,1,23,6,10
51,2251,2158,93,50,5,195,45,29,1,0,1,0,1720,180,351,1869,260,68,40,2,1916,11,27,36,35
52,912,713,199,18,0,75,19,15,0,0,0,0,529,238,145,60,643,21,180,2,726,3,19,30,29
53,16,16,0,0,0,2,0,0,0,0,0,0,15,1,0,2,14,0,0,0,14,0,1,0,0
54,315,299,16,1,0,83,1,0,0,0,0,0,199,73,43,37,221,22,0,14,239,0,1,9,12
55,2933,2662,271,30,7,201,42,113,3,0,0,0,2183,465,285,2296,358,31,238,6,2507,6,24,54,97
56,1941,1681,260,73,15,316,69,37,117,55,35,11,1391,215,335,94,1784,23,21,10,1520,15,20,50,44
57,2007,1939,68,63,0,185,67,3,0,0,0,0,1588,141,278,294,1602,72,4,1,1795,2,30,14,19
58,923,824,99,10,6,151,33,73,31,5,11,4,523,189,211,68,755,25,58,6,635,6,16,30,72
59,275,239,36,0,6,40,6,6,0,0,0,0,171,67,37,36,205,19,1,5,202,3,4,13,10
60,270,254,16,16,0,27,24,0,0,0,0,0,160,19,91,10,229,22,0,2,204,2,6,3,4
61,1674,1630,44,32,9,230,85,4,0,0,0,0,1222,195,257,83,1510,48,3,6,1498,5,18,35,23
62,1157,1104,53,46,1,202,71,6,1,1,0,0,781,105,271,170,884,51,6,8,962,4,31,22,19
63,878,854,24,24,0,59,25,2,0,0,0,0,635,43,200,784,46,32,0,2,717,6,11,17,10
64,1366,1306,60,50,2,98,51,1,0,0,0,0,927,120,319,255,1010,66,10,5,1144,2,19,21,13
65,231,218,13,1,1,57,12,46,3,1,2,0,120,49,62,18,180,12,7,1,130,0,8,6,26
66,42,42,0,0,0,6,2,0,0,0,0,0,36,3,3,36,4,0,0,0,38,0,1,1,0
67,592,519,73,36,1,93,29,24,30,11,12,1,357,72,163,497,51,29,5,1,408,7,16,21,17
68,11,8,3,2,0,1,0,0,0,0,0,0,7,1,3,1,8,0,0,2,7,0,1,0,0
69,2941,2454,487,57,9,248,147,182,104,17,57,4,1628,532,781,335,2208,63,326,6,2216,11,37,63,103
70,15,15,0,0,0,2,0,0,0,0,0,0,12,2,1,1,13,1,0,0,15,0,0,0,0
71,105,104,1,0,0,25,1,9,0,0,0,0,76,18,11,74,20,3,0,4,67,1,2,7,5
72,1630,1376,254,31,2,170,22,59,0,0,0,0,997,401,232,1172,122,85,223,1,1305,4,27,46,60
73,6,6,0,0,0,2,0,0,0,0,0,0,3,2,1,0,4,2,0,0,5,0,0,0,0
74,1137,901,236,63,0,82,35,0,0,0,0,0,818,59,260,96,850,1,0,159,969,3,16,10,1
75,405,271,134,29,0,23,8,0,0,0,0,0,169,16,220,27,294,0,1,70,267,1,13,1,1
76,1048,1014,34,22,0,146,14,3,0,0,0,0,768,140,140,113,894,28,5,4,899,3,11,25,20
77,337,316,21,8,3,68,4,7,0,0,0,0,273,37,27,23,299,8,2,0,270,2,4,12,14
78,877,845,32,6,2,141,17,29,6,0,1,0,673,108,96,800,38,20,6,7,711,4,7,22,31
79,592,506,86,11,0,85,4,13,4,0,4,0,396,109,87,436,51,20,71,3,483,4,6,13,25
80,688,674,14,11,0,133,24,6,0,0,0,0,438,86,164,65,524,62,2,1,535,1,20,9,12
81,1061,1007,54,51,1,105,52,2,0,0,0,0,767,97,197,77,886,60,3,1,895,3,20,15,14
82,916,881,35,29,0,61,55,7,0,0,0,0,630,94,192,141,691,43,3,3,796,4,13,4,2
83,446,431,15,3,0,75,12,2,2,1,1,0,374,41,31,36,381,14,9,2,399,0,3,6,8
84,689,668,21,20,2,104,14,3,0,0,0,0,557,51,81,48,594,28,1,1,596,1,8,12,9
85,58,52,6,1,0,11,1,4,0,0,0,0,42,8,8,4,48,0,5,0,47,1,2,0,1
86,12,10,2,0,0,3,0,0,0,0,0,0,9,1,2,9,1,0,2,0,8,0,0,0,2
87,466,433,33,1,0,47,3,0,0,0,0,0,341,59,66,36,362,21,32,2,400,2,0,7,10
88,441,363,78,7,0,64,13,9,0,0,0,0,228,119,94,239,90,23,71,2,355,1,9,3,15
89,253,240,13,2,1,82,11,14,3,2,1,0,151,37,65,42,171,19,1,1,174,1,6,7,15
90,4,2,2,0,0,0,1,0,0,0,0,0,1,2,1,0,2,0,2,0,4,0,0,0,0
91,1143,1053,90,35,2,186,23,22,44,14,19,0,827,145,171,148,962,14,8,7,946,4,3,35,23
92,1064,979,85,19,3,121,42,11,5,5,0,0,710,122,232,174,722,65,61,4,857,1,27,15,19
93,1390,1330,60,41,0,177,65,10,0,0,0,0,1086,113,191,94,1241,34,3,5,1234,3,14,23,34
94,248,237,11,11,0,48,6,2,0,0,0,0,150,52,46,27,177,29,0,1,195,0,6,11,6
95,117,111,6,4,0,11,4,0,0,0,0,0,89,11,17,9,96,5,2,0,105,0,0,1,1
96,1833,1765,68,54,1,164,96,4,0,0,0,0,1255,158,420,174,1476,108,14,7,1529,7,51,18,22
97,33,26,7,0,0,5,0,1,0,0,0,0,20,10,3,2,22,1,7,0,24,0,0,2,1
98,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
99,6,6,0,0,0,0,0,1,0,0,0,0,6,0,0,3,2,0,0,1,4,0,0,1,0
100,247,224,23,0,0,94,1,4,0,0,0,0,121,69,57,23,128,26,1,17,176,1,6,5,11
101,40,28,12,3,0,3,0,0,0,0,0,0,25,1,14,9,25,0,0,5,33,0,0,0,0
102,2042,2012,30,27,3,310,45,12,0,0,0,0,1491,286,265,250,1607,107,3,16,1737,5,36,42,40
103,1460,1431,29,25,2,250,29,8,0,0,0,0,967,211,282,315,973,109,3,12,1155,9,29,36,38
104,878,859,19,15,0,134,27,6,0,0,0,0,693,88,97,101,743,21,4,0,777,1,12,18,14
105,30,11,19,2,0,3,1,0,0,0,0,0,5,0,25,12,16,0,0,0,16,0,2,0,0
106,50,50,0,0,0,7,1,0,0,0,0,0,23,6,21,8,30,9,0,0,39,1,1,1,0
107,681,542,139,18,0,87,26,37,5,2,1,1,351,137,193,418,105,28,116,2,509,5,18,29,13
108,1490,1203,287,46,4,163,52,112,48,18,18,1,775,279,436,1099,122,62,193,4,1059,9,25,31,61
109,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1008,770,238,29,0,113,82,133,25,5,17,1,422,189,397,359,439,18,184,4,684,1,36,23,36
112,2073,1972,101,61,2,207,32,8,0,0,0,0,1660,157,256,356,1571,62,39,10,1827,5,26,27,28
113,16,16,0,0,0,2,0,0,0,0,0,0,8,4,4,3,10,2,0,0,9,0,1,0,1
114,490,472,18,1,0,171,14,30,0,0,0,0,283,124,83,76,319,28,8,12,326,2,11,17,31
115,119,107,12,6,0,5,7,0,0,0,0,0,97,9,13,18,93,2,6,0,106,0,3,1,1
116,1009,969,40,10,4,130,17,20,12,4,1,0,860,94,55,103,883,12,7,0,852,4,12,38,31
117,827,691,136,48,7,132,61,41,76,26,36,4,526,91,210,115,667,16,6,12,594,1,18,31,24
118,861,672,189,10,0,99,13,41,0,0,0,0,456,188,217,113,506,45,179,4,634,3,22,25,26
119,20,15,5,1,0,2,0,0,0,0,0,0,11,7,2,4,11,1,4,0,15,0,0,0,1
120,1076,951,125,55,1,164,98,50,67,32,11,10,547,138,391,89,852,85,1,4,754,6,36,18,25
121,1160,1114,46,38,4,168,26,2,0,0,0,0,870,133,157,147,946,47,8,4,1003,2,12,29,24
122,611,594,17,3,4,110,25,25,5,2,2,0,413,88,110,495,73,28,8,1,463,2,11,20,26
123,1555,1526,29,27,1,128,30,3,0,0,0,0,1192,131,232,169,1276,71,2,5,1321,2,26,25,18
124,1068,1032,36,26,1,95,13,0,0,0,0,0,921,59,88,102,896,26,9,5,987,1,9,8,7
125,1875,1601,274,83,2,232,150,30,3,1,2,0,955,350,570,417,1088,126,188,6,1444,2,72,28,30
126,1001,650,351,102,0,45,19,0,0,0,0,0,534,34,433,65,727,0,0,158,737,3,19,5,2
127,55,47,8,1,0,12,0,0,0,0,0,0,39,9,7,3,42,3,7,0,47,0,0,1,1
128,62,53,9,0,0,20,0,1,0,0,0,0,36,13,13,11,37,7,0,0,40,0,2,1,2
129,7,7,0,0,0,0,0,0,0,0,0,0,5,0,2,2,3,2,0,0,4,0,0,0,1
130,4,4,0,0,0,1,0,1,0,0,0,0,2,1,1,2,2,0,0,0,3,1,0,0,0
131,1258,1181,77,14,7,268,19,26,1,0,0,0,961,172,125,229,965,39,16,3,1002,2,12,44,65
132,1652,1393,259,142,6,255,121,33,107,51,39,0,1017,210,425,1215,317,72,9,6,1323,6,25,26,26
133,36,34,2,0,0,14,1,0,0,0,0,0,16,13,7,4,18,5,0,2,27,0,0,1,1
134,92,90,2,0,0,20,0,1,0,0,0,0,77,9,6,80,8,1,2,0,76,1,0,1,5
135,243,192,51,6,0,22,4,0,0,0,0,0,154,13,76,30,170,0,0,39,198,0,4,1,0
136,901,859,42,36,1,131,31,9,3,1,2,0,691,98,112,96,755,32,3,2,761,5,7,26,16
137,109,97,12,1,0,7,0,4,1,0,0,0,71,18,20,87,10,1,10,0,93,0,0,1,2
138,353,328,25,23,1,74,11,3,0,0,0,0,254,37,62,68,256,19,2,3,294,1,7,9,8
139,1307,945,362,77,0,103,36,0,0,0,0,0,776,53,478,200,882,1,0,191,1033,3,25,8,1
140,1007,944,63,11,4,155,39,76,33,8,6,3,748,120,139,851,109,14,19,8,808,3,16,21,48
141,19,19,0,0,0,4,0,1,0,0,0,0,10,5,4,8,9,2,0,0,8,0,2,0,1
142,1254,1208,46,15,9,256,29,39,1,1,0,0,974,169,111,885,285,50,11,7,965,11,17,51,56
143,183,177,6,2,0,35,3,5,0,0,0,0,138,26,19,28,136,11,1,1,126,1,2,13,7
144,336,333,3,3,0,77,9,3,0,0,0,0,227,40,69,25,259,27,0,3,270,1,10,12,5
145,633,537,96,11,0,79,14,41,1,0,1,0,438,122,73,28,497,16,84,1,508,0,15,17,20
146,691,670,21,1,6,141,9,47,1,0,0,0,495,102,94,76,564,17,3,9,518,9,5,16,23
147,1256,877,379,118,2,95,23,0,0,0,0,0,562,74,620,114,914,1,0,175,874,2,26,5,3
148,2046,1694,352,38,0,203,28,118,2,0,1,0,1153,420,473,1554,90,61,312,2,1567,3,26,49,78
149,5,3,2,1,0,0,0,0,0,0,0,0,3,2,0,0,5,0,0,0,5,0,0,0,0
150,1167,850,317,55,0,138,51,84,70,23,37,7,486,261,420,806,84,52,192,2,779,6,27,28,40
151,954,791,163,5,3,108,13,21,0,0,0,0,576,194,184,69,654,51,158,1,769,0,7,22,25
152,34,32,2,0,0,12,0,1,0,0,0,0,16,10,8,3,18,6,0,0,25,1,0,1,1
153,57,56,1,0,0,7,4,2,0,0,0,0,18,21,18,14,27,8,0,5,32,0,1,3,2
154,301,296,5,0,0,100,4,3,0,0,0,0,178,78,45,52,189,20,1,19,208,1,12,10,15
155,203,153,50,1,0,28,0,11,0,0,0,0,96,58,49,18,118,10,49,0,139,0,5,12,9
156,654,636,18,4,0,141,10,18,0,0,0,0,519,85,50,42,553,25,2,7,514,1,7,25,23
157,562,528,34,7,0,37,6,3,0,0,0,0,475,52,35,48,470,10,27,1,516,1,7,8,9
158,2661,2302,359,54,4,244,90,70,0,0,0,0,1574,491,596,208,2006,97,305,7,2109,7,46,68,67
159,38,37,1,0,0,5,0,1,0,0,0,0,28,2,8,5,27,3,1,0,28,0,1,1,0
160,2015,1830,185,35,4,128,12,29,0,0,0,0,1500,265,250,165,1585,77,150,7,1763,4,18,37,39
161,254,232,22,8,0,31,5,2,0,0,0,0,182,36,36,218,9,7,14,0,215,0,6,5,2
162,165,152,13,0,1,50,5,6,0,0,0,0,105,38,22,5,140,6,1,3,111,0,6,4,9
163,1891,1848,43,36,0,193,79,6,0,0,0,0,1530,87,274,134,1615,76,3,6,1667,3,41,24,11
164,1594,1525,69,57,4,214,84,12,1,1,0,0,1074,214,306,247,1266,62,3,2,1298,7,24,46,29
165,1147,776,371,86,0,100,17,0,0,0,0,0,553,51,543,109,828,0,2,144,867,1,19,6,2
166,55,53,2,2,0,10,0,3,0,0,0,0,42,9,4,4,45,5,0,1,42,1,1,2,2
