Player,Nation,Pos,Squad,Born
Ismael Aaneba\Ismael-Aaneba,FRA,FWDF,Strasbourg,1999
Patrick van Aanholt\Patrick-van-Aanholt,NED,DF,Crystal Palace,1990
Issah Abbas\Issah-Abbas,GHA,DFFW,Mainz 05,1998
Yunis Abdelhamid\Yunis-Abdelhamid,MAR,DF,Reims,1987
Sabit Abdulai\Sabit-Abdulai,GHA,MF,Getafe,1999
Mehdi Abeid\Mehdi-Abeid,ALG,MF,Nantes,1992
Laurent Abergel\Laurent-Abergel,FRA,MF,Lorient,1993
Charles Abi\Charles-Abi,FRA,FWMF,Saint-Étienne,2000
Matthis Abline\Matthis-Abline,FRA,FW,Rennes,2003
Pape Abou Cisse\Pape-Abou-Cisse,SEN,DF,Saint-Étienne,1995
David Abraham\David-Abraham,ARG,DF,Eint Frankfurt,1986
Tammy Abraham\Tammy-Abraham,ENG,FW,Chelsea,1997
Amir Abrashi\Amir-Abrashi,ALB,MF,Freiburg,1990
Gennaro Acampora\Gennaro-Acampora,ITA,MFFW,Spezia,1994
Francesco Acerbi\Francesco-Acerbi,ITA,DF,Lazio,1988
Ragnar Ache\Ragnar-Ache,GER,FWDF,Eint Frankfurt,1998
Marcos Acuña\Marcos-Acuna,ARG,DF,Sevilla,1991
Che Adams\Che-Adams,SCO,FW,Southampton,1996
Tyler Adams\Tyler-Adams,USA,DFMF,RB Leipzig,1999
Sargis Adamyan\Sargis-Adamyan,ARM,FWMF,Hoffenheim,1993
Tosin Adarabioyo\Tosin-Adarabioyo,ENG,DF,Fulham,1997
Bobby Adekanye\Bobby-Adekanye,NED,FWMF,Cádiz,1999
Yacine Adli\Yacine-Adli,FRA,MF,Bordeaux,2000
Andrea Adorante\Andrea-Adorante,ITA,FW,Parma,2000
Adrián\Adrian,ESP,GK,Liverpool,1987
Martin Agirregabiria\Martin-Agirregabiria,ESP,DFMF,Alavés,1996
Lucien Agoume\Lucien-Agoume,FRA,MF,Spezia,2002
Felix Agu\Felix-Agu,GER,DF,Werder Bremen,1999
Kevin Agudelo\Kevin-Agudelo,COL,FW,Spezia,1998
Nayef Aguerd\Nayef-Aguerd,MAR,DF,Rennes,1996
Sergio Agüero\Sergio-Aguero,ARG,FWMF,Manchester City,1988
Ruben Aguilar\Ruben-Aguilar,FRA,DFFW,Monaco,1993
Naouirou Ahamada\Naouirou-Ahamada,FRA,MF,Stuttgart,2002
Matteo Ahlinvi\Matteo-Ahlinvi,BEN,MF,Nîmes,1999
Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,SEN,FW,Marseille,2000
Jean-Eudes Aholou\Jean-Eudes-Aholou,CIV,MF,Strasbourg,1994
Jean-Eudes Aholou\Jean-Eudes-Aholou,CIV,MF,Monaco,1994
Joseph Aidoo\Joseph-Aidoo,GHA,DF,Celta Vigo,1995
Ola Aina\Ola-Aina,NGA,DF,Fulham,1996
Rayan Aït Nouri\Rayan-Ait-Nouri,FRA,DF,Wolves,2001
Rayan Aït Nouri\Rayan-Ait-Nouri,FRA,DF,Angers,2001
Semi Ajayi\Semi-Ajayi,NGA,DF,West Brom,1993
Ludovic Ajorque\Ludovic-Ajorque,REU,FW,Strasbourg,1994
Manuel Akanji\Manuel-Akanji,SUI,DF,Dortmund,1995
Carlos Akapo\Carlos-Akapo,EQG,DF,Cádiz,1993
Marley Aké\Marley-Ake,FRA,FW,Marseille,2001
Nathan Aké\Nathan-Ake,NED,DF,Manchester City,1995
Paul Akouokou\Paul-Akouokou,CIV,MF,Betis,1997
Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,CIV,MF,Lazio,1992
Kevin Akpoguma\Kevin-Akpoguma,NGA,DF,Hoffenheim,1995
David Alaba\David-Alaba,AUT,DFMF,Bayern Munich,1992
Sofiane Alakouch\Sofiane-Alakouch,FRA,DF,Nîmes,1998
Jony Álamo\Jony-Alamo,ESP,MF,Elche,2001
Lucas Alario\Lucas-Alario,ARG,FW,Leverkusen,1992
Jordi Alba\Jordi-Alba,ESP,DF,Barcelona,1989
Luis Alberto\Luis-Alberto,ESP,MF,Lazio,1992
Raúl Albiol\Raul-Albiol,ESP,DF,Villarreal,1985
Marc Albrighton\Marc-Albrighton,ENG,DFFW,Leicester City,1989
Paco Alcácer\Paco-Alcacer,ESP,FW,Villarreal,1993
Pedro Alcalá\Pedro-Alcala,ESP,DF,Cádiz,1989
Thiago Alcántara\Thiago-Alcantara,ESP,MF,Liverpool,1991
Rubén Alcaraz\Ruben-Alcaraz,ESP,MF,Valladolid,1991
Omar Alderete\Omar-Alderete,PAR,DF,Hertha BSC,1996
Toby Alderweireld\Toby-Alderweireld,BEL,DF,Tottenham,1989
