Unnamed: 0,Standard,Standard.1,Standard.2,Standard.3,Standard.4,Standard.5,Standard.6,Standard.7,Standard.8,Standard.9,Standard.10,Standard.11,Expected,Expected.1,Expected.2,Expected.3,Expected.4
Rk,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,18,6,33.3,0.91,0.3,0,0,20.3,3,0,0,1.2,1.2,0.07,-1.2,-1.2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,15,5,33.3,0.47,0.16,0.2,0.6,10.2,0,0,0,1.7,1.7,0.11,1.3,1.3
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,20,0,0,1.36,0,0,0,22.9,1,0,0,1,1,0.05,-1,-1
7,3,30,10,33.3,0.91,0.3,0.1,0.3,25.9,0,0,0,1.3,1.3,0.04,1.7,1.7
8,3,19,4,21.1,1.87,0.39,0.16,0.75,11.8,0,0,0,2.1,2.1,0.11,0.9,0.9
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,13,3,23.1,0.93,0.21,0,0,11.3,0,0,0,1.2,1.2,0.09,-1.2,-1.2
11,1,9,2,22.2,0.66,0.15,0.11,0.5,16,0,0,0,0.7,0.7,0.07,0.3,0.3
12,6,32,13,40.6,2.77,1.13,0.19,0.46,9.7,0,0,0,6.4,6.4,0.2,-0.4,-0.4
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,9,0,0,1.84,0,0,0,25,1,0,0,0.3,0.3,0.03,-0.3,-0.3
15,0,8,0,0,0.26,0,0,0,13.1,0,0,0,1,1,0.12,-1,-1
16,1,2,1,50,1.8,0.9,0.5,1,14.7,0,0,0,0.3,0.3,0.13,0.7,0.7
17,1,18,3,16.7,0.7,0.12,0.06,0.33,20.7,0,0,0,1.1,1.1,0.06,-0.1,-0.1
18,9,56,31,55.4,1.89,1.05,0.16,0.29,13.1,0,0,0,8.8,8.8,0.16,0.2,0.2
19,1,7,4,57.1,0.34,0.19,0.14,0.25,15.4,0,0,0,0.9,0.9,0.13,0.1,0.1
20,2,21,6,28.6,3.95,1.13,0.1,0.33,14.6,0,0,0,2.2,2.2,0.11,-0.2,-0.2
21,0,20,5,25,0.61,0.15,0,0,8.8,0,0,0,1.1,1.1,0.05,-1.1,-1.1
22,0,1,0,0,2.5,0,0,0,17.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2
23,2,24,9,37.5,0.89,0.33,0.08,0.22,19.9,1,0,0,1.4,1.4,0.06,0.6,0.6
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,2,0,0,0.12,0,0,0,14.3,0,0,0,0.2,0.2,0.1,-0.2,-0.2
27,0,2,0,0,0.23,0,0,0,20.5,0,0,0,0,0,0.02,0,0
28,1,4,1,25,0.51,0.13,0.25,1,19.7,0,0,0,0.6,0.6,0.14,0.4,0.4
29,1,19,4,21.1,1.26,0.27,0.05,0.25,17.3,0,0,0,1.9,1.9,0.1,-0.9,-0.9
30,3,29,6,20.7,0.83,0.17,0.1,0.5,8.8,0,0,0,2.9,2.9,0.1,0.1,0.1
31,4,17,10,58.8,2.74,1.61,0.18,0.3,13.8,0,1,2,3.3,1.8,0.11,0.7,1.2
32,1,8,3,37.5,0.32,0.12,0.13,0.33,9.6,0,0,0,1.2,1.2,0.15,-0.2,-0.2
