Unnamed: 0,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3
Rk,MP,Starts,Min,90s
1,2,0,11,0.1
2,22,20,1777,19.7
3,2,0,18,0.2
4,33,33,2889,32.1
5,3,0,60,0.7
6,18,15,1320,14.7
7,38,32,2963,32.9
8,24,9,912,10.1
9,1,0,2,0
10,14,14,1260,14
11,14,14,1222,13.6
12,22,12,1040,11.6
13,5,0,60,0.7
14,14,2,441,4.9
15,32,32,2813,31.3
16,7,0,100,1.1
17,30,26,2330,25.9
18,36,30,2667,29.6
19,27,21,1850,20.6
20,18,3,479,5.3
21,33,33,2953,32.8
22,3,0,36,0.4
23,35,25,2418,26.9
24,1,0,10,0.1
25,3,3,270,3
26,26,16,1558,17.3
27,12,9,800,8.9
28,15,8,701,7.8
29,29,14,1356,15.1
30,35,35,3147,35
31,12,7,559,6.2
32,33,27,2225,24.7
33,6,3,252,2.8
34,20,10,899,10
35,5,2,129,1.4
36,27,26,2146,23.8
37,2,0,36,0.4
38,25,14,1289,14.3
39,31,31,2664,29.6
40,21,16,1404,15.6
41,3,2,187,2.1
42,33,31,2780,30.9
43,35,34,2967,33
44,28,26,2350,26.1
45,13,10,865,9.6
46,9,0,146,1.6
47,10,9,797,8.9
48,10,4,378,4.2
49,32,6,1056,11.7
50,16,14,1184,13.2
51,32,30,2675,29.7
52,22,17,1505,16.7
53,1,1,73,0.8
54,25,12,1245,13.8
55,35,34,3025,33.6
56,34,33,2618,29.1
57,35,35,3115,34.6
58,31,17,1746,19.4
59,27,19,1544,17.2
60,13,8,909,10.1
61,24,20,1854,20.6
62,30,25,2165,24.1
63,17,14,1299,14.4
64,25,25,2240,24.9
65,22,6,827,9.2
66,2,0,48,0.5
67,22,15,1366,15.2
68,1,0,16,0.2
69,36,34,3031,33.7
70,2,0,34,0.4
71,21,1,348,3.9
72,36,29,2461,27.3
73,1,0,15,0.2
74,33,33,2970,33
75,12,12,1080,12
76,24,23,2051,22.8
77,15,7,620,6.9
78,34,28,2429,27
79,13,11,960,10.7
80,27,17,1568,17.4
81,23,22,1948,21.6
