Rk,Player,Nation,Pos,Squad,Comp,Age,Born
1,Ismael Aaneba\Ismael-Aaneba,FRA,FWDF,Strasbourg,fr Ligue 1,21,1999
2,Patrick van Aanholt\Patrick-van-Aanholt,NED,DF,Crystal Palace,eng Premier League,29,1990
3,Issah Abbas\Issah-Abbas,GHA,DFFW,Mainz 05,de Bundesliga,21,1998
4,Yunis Abdelhamid\Yunis-Abdelhamid,MAR,DF,Reims,fr Ligue 1,32,1987
5,Sabit Abdulai\Sabit-Abdulai,GHA,MF,Getafe,es La Liga,21,1999
6,Mehdi Abeid\Mehdi-Abeid,ALG,MF,Nantes,fr Ligue 1,27,1992
7,Laurent Abergel\Laurent-Abergel,FRA,MF,Lorient,fr Ligue 1,27,1993
8,Charles Abi\Charles-Abi,FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000
9,Matthis Abline\Matthis-Abline,FRA,FW,Rennes,fr Ligue 1,17,2003
10,Pape Abou Cisse\Pape-Abou-Cisse,SEN,DF,Saint-Étienne,fr Ligue 1,24,1995
11,David Abraham\David-Abraham,ARG,DF,Eint Frankfurt,de Bundesliga,34,1986
12,Tammy Abraham\Tammy-Abraham,ENG,FW,Chelsea,eng Premier League,22,1997
13,Amir Abrashi\Amir-Abrashi,ALB,MF,Freiburg,de Bundesliga,30,1990
14,Gennaro Acampora\Gennaro-Acampora,ITA,MFFW,Spezia,it Serie A,26,1994
15,Francesco Acerbi\Francesco-Acerbi,ITA,DF,Lazio,it Serie A,32,1988
16,Ragnar Ache\Ragnar-Ache,GER,FWDF,Eint Frankfurt,de Bundesliga,22,1998
17,Marcos Acuña\Marcos-Acuna,ARG,DF,Sevilla,es La Liga,28,1991
18,Che Adams\Che-Adams,SCO,FW,Southampton,eng Premier League,24,1996
19,Tyler Adams\Tyler-Adams,USA,DFMF,RB Leipzig,de Bundesliga,21,1999
20,Sargis Adamyan\Sargis-Adamyan,ARM,FWMF,Hoffenheim,de Bundesliga,27,1993
